168,169110,CC(=O)C1=NCCS1
169,166523,CCCC(C)C1OCC(CO1)(C)CCC
170,166373,CC(C)(C)C1=CC=C(C=C1)OCC=O
171,165675,C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C
172,165271,C1=C(NC=N1)C[C@@H](CO)N
173,164939,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)O)O)O)O)O
174,163529,COC1CC2CC1C3C2CC(C3)C=O
175,162268,C1CCCCCC(=O)CCCC=CCCCC1
176,162249,CCCCCCC1C(CCC1=O)C(=O)OC
177,162000,CCCCCCCCC(OC(=O)C)OC(=O)C
178,160663,CC(CNC(=O)N)C(=O)O
179,159055,C[C@@]12CC[C@@H](C1(C)C)CC2=O
180,158410,CCC(=O)OCC(C)(C)CC1=C(CCC1C(=C)C)C
181,147604,CC1(C(=O)C=CO1)C
182,141850,CC(C1=CC=CC=C1)S
183,138644,C1CCCCOC(=O)CCC1
184,133098,CC1=C(C=C2CCC(OC2=C1C)(C)CCC(=O)O)O
185,124072,COC1=C(C=CC(=C1)CCC(=O)CC(=O)CCC2=CC(=C(C=C2)O)OC)O
186,123831,CN(C)C(=NCCC[C@@H](C(=O)O)N)N
187,123689,CC(=O)NCCCCNCCCN
188,122356,CC(=O)NCCCCN
189,117477,CCOC(=O)CCC(C)C
190,114454,CCCCCCC1CCCC1=O
191,113514,CC1CC(CO1)(C)C2=CC=CC=C2
192,112457,CC(C)C1C(COC(O1)(C)C)(C)C
193,111037,CC1=CCC(CC1)C(C)(C)OC(=O)C
194,110977,CCCCCCCCC1CCCC(=O)O1
195,110747,CC(C)CCCC(C)CC=O
196,108313,CC(CCC1=CC=CC=C1)CC=O
197,108312,CC(CCC1=CC=CC=C1)CCO
198,107327,C1CCCCCCCC(CCCCCC1)O
199,106997,CCC1(C(C2CCC1(C2)C)(C)C)O
200,106729,CC(C)CCOCC(=O)OCC=C
201,106442,CC(C)OCCC1=CC=CC=C1
202,105516,CC(C)(C)C(=O)OCCC1=CC=CC=C1
203,105513,CCC1=CC=C(C=C1)CC(C)(C)C=O
204,102861,CCCCCC1C(CCC1=O)CC(=O)OC
205,101977,C[C@H](CCC=C(C)C)CCO
206,99868,CCCCCC(CCCC)O
207,97707,CCCCCC1C(CC(=O)O1)C
208,95594,CC1=CC=C(C=C1)CC(C)C=O
209,95593,CC(CC1=CC=CC=C1)C=O
210,95315,CCCC(C)CC(=O)O
211,94243,CC(CCO)C1=CC=CC=C1
212,93199,CC(=CCCC1=CCC(CC1)C=O)C
213,92979,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CCC4=CC(=O)CC[C@]34C
214,92751,C1=C(N(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)O
215,92292,CC1C(C2=C(C1(C)C)C(=O)CCC2)(C)C
216,92258,C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O
217,91696,CC1C(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)C(C)C
218,91604,CC(C)(CCCC1=CCC(CC1)C=O)O
219,91497,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C
220,91339,CC(C1CCCC(C1)(C)C)OC(=O)C
221,90817,CCCCCCCCC=CC#N
222,89440,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C
223,89428,CCCCCCC(C)(CC)O
224,88290,CC(=O)CC(C)(C)S
225,86799,CCCCCC1COCCC1OC(=O)C
226,86751,CCC(C)CCCC(C)(C)O
227,85979,CC(CC=O)C1=CC=CC=C1
228,85730,CC1C(=O)C=C(O1)C
229,84545,C1CCCCCC(=O)CCC=CCCCC1
230,84192,CCCCC(=O)CC(=O)C
231,83268,CC(C)CCCC(C)(C)O
232,83203,C=CCCCCCCO
233,82229,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C
234,82227,CC1=CC[C@@H]2C[C@H]1C2(C)C
235,80865,CCOC(=O)CC1(OCCO1)C
236,80408,C1=CSC(=C1)CS
237,80314,CCCCCC(=O)CC(=O)C
238,78949,C1C2CC(C1C=C2)C(=O)O
239,78126,C1=CC=C(C=C1)CCS
240,77840,C=CC1=NC=CN=C1
241,76354,CC(C)CC(=O)CC(=O)C
242,75427,C[C@H](CCC=C(C)C)CC=O
243,74408,C1CCCCOCCCCCCOC(=O)CCC1
244,73918,C1CCCCC(=O)CCCC1
245,70935,CC1=CNC(=O)N1
246,70914,CC(=O)N[C@@H](CCC(=O)O)C(=O)O
247,70275,CC1=C2C(=CC=C1)C=CN2
248,69949,CC(C(=O)C)C(=O)C
249,68382,C1C2=CC=CC=C2OC1=O
250,68110,C1COC2=CC=CC=C2C1=O
251,67525,C1CCCCCCCCCCCCCC1
252,67350,CC1=C(C(=C(C(=C1C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C
253,67005,CC1=C(C=C2C(=C1[N+](=O)[O-])C(CC2(C)C)(C)C)[N+](=O)[O-]
254,66282,CSCC=C
255,65154,C12=C(NC(=NC1=O)N)NC(=O)N2
256,64832,CC(C)(C)C1=CC=C(C=C1)CCC=O
257,64813,CC(CC1=CC=C(C=C1)OC)C=O
258,64805,CC(CC1=CC2=C(C=C1)OCO2)C=O
259,62902,CCCC(C)C(=O)OCC
260,62900,CCCCC1C(CC(=O)O1)C
261,62835,CC1C(=C(C(=O)O1)O)C
262,62775,CC=CC(=O)C1=C(C=CCC1(C)C)C
263,62539,CCC(=O)C(=O)CC
264,62465,CCC1=CC(=C(C=C1)O)OC
265,62453,C=CC1=CC=C(C=C1)O
266,62444,CCCC(=O)SC
267,62385,CC1=CC=C(C=C1)C(=C)C
268,62378,CCCCCC1=C(CCC1=O)C
269,62329,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)[N+](=O)[O-]
270,62237,CCC(C(=O)C)S
271,62131,CSSCC1=CC=CO1
272,62098,CC(=O)CCC1=CC2=C(C=C1)OCO2
273,62089,CCCCC(C)CCC(=O)O
274,61918,CCC1=NC=CN=C1C(=O)C
275,61840,CCCCC(CC)CCC(=O)O
276,61834,CCCCCCCC1CC=CC(=O)O1
277,61659,C1=COC(=C1)CSCC2=CC=CO2
278,61592,CCOC(=O)CCSC
279,61585,CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C
280,61401,CC(CCC=C(C)C)CCOCC=O
281,61346,CCCCCC(=O)C=C
282,61325,CC1C(=O)C(=C(O1)C)OC
283,61303,CCCCCCCCCCCCCC(=O)C
284,61235,CCCCCCC(=O)CC
285,61204,CCCCCCC1CCCC(=O)O1
